161328948|0119|ANA@DET
161328949|1031|STL@DET
161328950|0402|CAR@DET
161328953|0117|MIN@DET
161328954|0125|PIT@DET
161328955|0102|EDM@DET
161328956|1017|SJS@DET
161328960|0306|DAL@DET
161328962|1105|VGK@DET
161328963|1128|NSH@DET
161328964|0318|CBJ@DET
161328966|0127|TOR@DET
161328967|0129|FLA@DET
161328968|0330|OTT@DET
161328971|1015|PHI@DET
161328972|0312|BUF@DET
161328973|0324|WSH@DET
161348629|0311|NYR@COL
161348630|0313|CHI@COL
161348631|1125|MTL@COL
161348634|0110|NSH@COL
161348637|0106|OTT@COL
161348638|1119|ANA@COL
161348641|0930|LAK@COL
161348642|1216|NYI@COL
161348643|0323|UTA@COL
161348644|1023|TBL@COL
161348645|1031|CGY@COL
161348646|0225|WPG@COL
161348647|1214|UTA@COL
161348650|0309|PHI@COL
161348652|0317|MIN@COL
161348655|0222|VGK@COL
161348658|0124|DAL@COL
161348659|1003|STL@COL
161348661|0327|WPG@COL
161348664|0120|BOS@COL
161348665|0130|BUF@COL
161348666|0108|SEA@COL
161348667|0126|EDM@COL
161348668|1107|DET@COL
161348669|0227|FLA@COL
161348670|0215|CBJ@COL
161348671|0118|VAN@COL
161348674|0410|MIN@COL
161348675|1212|WSH@COL
161348677|1220|SEA@COL
161348678|1105|NSH@COL
161348680|0402|LAK@COL
161348681|1218|CAR@COL
161348682|0321|CHI@COL
161348683|1016|PIT@COL
161348685|0315|EDM@COL
161348688|1010|TOR@COL
161348689|1028|NJD@COL
161348690|1128|SJS@COL
161348691|0104|VGK@COL
161349227|0216|MIN@DAL
161349228|1022|WPG@DAL
161349229|0323|CAR@DAL
161349230|0104|DET@DAL
161349231|1222|CGY@DAL
161349232|1128|UTA@DAL
161349233|1002|STL@DAL
161349235|0327|NSH@DAL
161349239|1027|NJD@DAL
161349240|1013|COL@DAL
161349242|1112|WPG@DAL
161349243|0102|CHI@DAL
161349244|1025|NYI@DAL
161349245|1114|BUF@DAL
161349246|0405|SEA@DAL
161349247|1231|NYR@DAL
161349249|1212|STL@DAL
161349251|1031|CBJ@DAL
161349252|1215|WSH@DAL
161349256|0310|ANA@DAL
161349257|0223|VAN@DAL
161349258|0112|OTT@DAL
161349259|1020|BOS@DAL
161349260|0409|UTA@DAL
161349263|0128|VAN@DAL
161349264|0330|CGY@DAL
161349265|0225|TBL@DAL
161349266|0403|CHI@DAL
161349267|0122|COL@DAL
161349268|0303|MIN@DAL
161349269|0218|PHI@DAL
161349271|0208|LAK@DAL
161349272|1005|SJS@DAL
161349274|0227|EDM@DAL
161349276|1115|FLA@DAL
161349278|1209|TOR@DAL
161349279|1125|NSH@DAL
161349280|0126|ANA@DAL
161349285|1107|SJS@DAL
161349287|1122|PIT@DAL
161349288|1029|MTL@DAL
161350075|1212|WPG@MIN
161350077|0109|NSH@MIN
161350078|0323|CHI@MIN
161350080|1029|NYI@MIN
161350081|1012|VGK@MIN
161350083|1003|BOS@MIN
161350084|0321|UTA@MIN
161350085|0406|CHI@MIN
161350086|1018|CBJ@MIN
161350087|1125|UTA@MIN
161350088|0130|DAL@MIN
161350089|0102|STL@MIN
161350090|1215|TOR@MIN
161350092|1222|LAK@MIN
161350093|0309|CAR@MIN
161350094|0228|NJD@MIN
161350096|1205|PHI@MIN
161350097|0215|OTT@MIN
161350100|0404|COL@MIN
161350101|0223|PIT@MIN
161350103|0402|DAL@MIN
161350104|0314|BUF@MIN
161350106|1127|COL@MIN
161350110|1117|NSH@MIN
161350113|1015|STL@MIN
161350114|0307|WSH@MIN
161350115|0114|FLA@MIN
161350116|1226|WPG@MIN
161350117|0325|EDM@MIN
161350118|0327|SEA@MIN
161350119|0128|SEA@MIN
161350120|1219|MTL@MIN
